Pete's Auto|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
54636|2022|Mercedes|c300|Sedan|White|70567|29000.00
54636|2022|Mercedes|c300|Sedan|White|70567|29000.00
12345|2021|Toyota|Camry|Sedan|Blue|45000|25000.00
98765|2023|Honda|Civic|Sedan|Black|30000|22000.00
23456|2020|Ford|F-150|Truck|Red|60000|35000.00
34567|2019|Chevrolet|Equinox|SUV|Silver|40000|28000.00
45678|2021|BMW|X5|SUV|Gray|25000|45000.00
56789|2022|Audi|A4|Sedan|Black|35000|32000.00
67890|2023|Lexus|RX|SUV|White|20000|48000.00
78901|2020|Subaru|Outback|Wagon|Green|55000|27000.00
89012|2021|Jeep|Wrangler|SUV|Yellow|32000|33000.00


